card_id,ssn,bname,fname,lname,email,address,phonenumber
ID000053,539630143,Jennifer Smith,Jennifer,Smith,jsmith1g@opensource.org,"3 Cordelia Terrace, Dallas, TX",4699635598
ID000054,636251591,Jack Baker,Jack,Baker,jbaker1h@sina.com.cn,"01441 Eastlawn Place, Dallas, TX",9729091277
ID000055,622935915,Amy Nguyen,Amy,Nguyen,anguyen1i@usa.gov,"79 Rigney Circle, Dallas, TX",2149052261
ID000056,823008890,Maria Stevens,Maria,Stevens,mstevens1j@tiny.cc,"5348 David Point, Plano, TX",9729925831
ID000057,534077079,Teresa Carpenter,Teresa,Carpenter,tcarpenter1k@angelfire.com,"6280 Spenser Lane, Dallas, TX",9729082593
ID000058,203688563,Roy Arnold,Roy,Arnold,rarnold1l@samsung.com,"7548 Dunning Junction, Richardson, TX",2149909053
ID000059,457751314,Randy Stewart,Randy,Stewart,rstewart1m@telegraph.co.uk,"5004 Emmet Park, Dallas, TX",4694222991
ID000060,524730400,Brenda Fernandez,Brenda,Fernandez,bfernandez1n@upenn.edu,"335 Forster Alley, Dallas, TX",2149206944
ID000061,344668375,Janet Thompson,Janet,Thompson,jthompson1o@cbslocal.com,"1 Chinook Place, Plano, TX",9729868081
ID000062,716553314,Billy Ortiz,Billy,Ortiz,bortiz1p@privacy.gov.au,"4 Hintze Court, Dallas, TX",4698081346
ID000063,869295873,Edward Hawkins,Edward,Hawkins,ehawkins1q@wix.com,"96231 Northland Plaza, Dallas, TX",9727983752
ID000064,218816261,Mark Morgan,Mark,Morgan,mmorgan1r@ed.gov,"5 Miller Lane, Dallas, TX",4697846546
ID000065,913501956,Carolyn Morgan,Carolyn,Morgan,cmorgan1s@dedecms.com,"975 Golf View Place, Dallas, TX",4696748726
ID000066,749408693,Tina Weaver,Tina,Weaver,tweaver1t@zdnet.com,"5414 Green Ridge Street, Dallas, TX",4698400879
ID000067,992926136,Eric Taylor,Eric,Taylor,etaylor1u@mozilla.org,"6 Fisk Pass, Dallas, TX",2147147652
ID000068,378071662,Ruth Henry,Ruth,Henry,rhenry1v@behance.net,"84 Hermina Street, Dallas, TX",9729342054
ID000069,388449990,Phillip Perkins,Phillip,Perkins,pperkins1w@ezinearticles.com,"84771 Bartelt Trail, Dallas, TX",2149174226
ID000070,288230361,Annie Welch,Annie,Welch,awelch1x@ftc.gov,"80 Stuart Road, Dallas, TX",9725161320
ID000071,509441761,Lois Hunter,Lois,Hunter,lhunter1y@vimeo.com,"49 Blaine Lane, Plano, TX",9728091141
ID000072,704795907,Lisa Cook,Lisa,Cook,lcook1z@netscape.com,"4412 Lakewood Gardens Plaza, Richardson, TX",9726539871
ID000073,948308402,Kathleen Harvey,Kathleen,Harvey,kharvey20@foxnews.com,"13 Grayhawk Hill, Dallas, TX",4695477753
ID000074,651576305,Diane Stevens,Diane,Stevens,dstevens21@home.pl,"0091 American Circle, Dallas, TX",4699421364
ID000075,908632676,Samuel Young,Samuel,Young,syoung22@pcworld.com,"0157 Holmberg Street, Richardson, TX",4699185729
ID000076,727253782,Mark Riley,Mark,Riley,mriley23@theglobeandmail.com,"4900 Thompson Court, Dallas, TX",9727672036
ID000077,775325935,Bonnie Ross,Bonnie,Ross,bross24@discovery.com,"0 Walton Court, Richardson, TX",9727666908
ID000078,402350549,Elizabeth Arnold,Elizabeth,Arnold,earnold25@bloglovin.com,"952 Sage Pass, Dallas, TX",2149672424
ID000079,270866950,John Walker,John,Walker,jwalker26@fastcompany.com,"2 Packers Crossing, Dallas, TX",4697965094
ID000080,982119636,William Simmons,William,Simmons,wsimmons27@webeden.co.uk,"1232 Hayes Crossing, Dallas, TX",9729037706
ID000081,757385276,Lisa Kelley,Lisa,Kelley,lkelley28@storify.com,"3718 Twin Pines Way, Dallas, TX",9729000487
ID000082,980242372,Carl Larson,Carl,Larson,clarson29@sohu.com,"096 Goodland Parkway, Dallas, TX",4695502228
ID000083,444734007,Brandon Anderson,Brandon,Anderson,banderson2a@cargocollective.com,"8 Leroy Circle, Dallas, TX",4699939270
ID000084,278334174,Gloria Myers,Gloria,Myers,gmyers2b@wufoo.com,"03 Elmside Center, Plano, TX",4698533967
ID000085,772259640,Daniel Freeman,Daniel,Freeman,dfreeman2c@dell.com,"9584 Elka Place, Dallas, TX",9727699270
ID000086,232984647,Judith Mitchell,Judith,Mitchell,jmitchell2d@vimeo.com,"2506 Merchant Terrace, Dallas, TX",9729029669
ID000087,937385159,Alan King,Alan,King,aking2e@meetup.com,"958 Burrows Street, Dallas, TX",2145835636
ID000088,327803166,Steve Phillips,Steve,Phillips,sphillips2f@reverbnation.com,"45557 Jana Court, Dallas, TX",9729379620
ID000089,405927423,Brenda Butler,Brenda,Butler,bbutler2g@google.com.br,"5 Calypso Avenue, Dallas, TX",9728926177
ID000090,133378900,Patricia Spencer,Patricia,Spencer,pspencer2h@psu.edu,"65143 Union Lane, Dallas, TX",2149099264
ID000091,227646193,Larry Olson,Larry,Olson,lolson2i@cargocollective.com,"50299 Lien Parkway, Dallas, TX",9729657073
ID000092,272416460,Victor Sullivan,Victor,Sullivan,vsullivan2j@yahoo.com,"272 Milwaukee Point, Plano, TX",9727594852
ID000093,318950284,Kathryn Taylor,Kathryn,Taylor,ktaylor2k@weather.com,"2952 Thackeray Point, Dallas, TX",2148620958
ID000094,729228562,Rachel Little,Rachel,Little,rlittle2l@histats.com,"755 Kropf Pass, Dallas, TX",9727977226
ID000095,783549793,Donald Richardson,Donald,Richardson,drichardson2m@sun.com,"951 Chive Avenue, Dallas, TX",9729346450
ID000096,131525777,Stephen Chapman,Stephen,Chapman,schapman2n@techcrunch.com,"0 Lunder Alley, Dallas, TX",2149871376
ID000097,335185473,Harold Richardson,Harold,Richardson,hrichardson2o@t-online.de,"76743 Burrows Court, Dallas, TX",4698991924
ID000098,933152171,Ernest Palmer,Ernest,Palmer,epalmer2p@360.cn,"6 Upham Drive, Dallas, TX",9729422638
ID000099,595383883,Pamela Matthews,Pamela,Matthews,pmatthews2q@ustream.tv,"2 Green Lane, Dallas, TX",2149440666
ID000100,808447643,Jason Campbell,Jason,Campbell,jcampbell2r@mozilla.com,"6 Raven Court, Dallas, TX",9728114885
ID000101,924160243,Joyce Fuller,Joyce,Fuller,jfuller2s@theguardian.com,"45900 Iowa Way, Dallas, TX",4699063524
ID000102,348539608,Andrea Bailey,Andrea,Bailey,abailey2t@squidoo.com,"33 Cardinal Alley, Richardson, TX",9728465566
ID000103,379160722,Denise Perry,Denise,Perry,dperry2u@google.es,"68 Old Shore Lane, Dallas, TX",2149913418
ID000104,997924787,Michael Jacobs,Michael,Jacobs,mjacobs2v@themeforest.net,"0 Brentwood Place, Richardson, TX",4699249727
ID000105,664955489,Catherine Reid,Catherine,Reid,creid2w@ezinearticles.com,"41544 Anniversary Crossing, Plano, TX",2149488236
ID000106,424122851,Aaron Romero,Aaron,Romero,aromero2x@cam.ac.uk,"844 Union Way, Dallas, TX",9725355154
ID000107,295193279,John Warren,John,Warren,jwarren2y@sciencedirect.com,"9127 Farragut Center, Dallas, TX",4699235725
ID000108,806922733,Steve Garrett,Steve,Garrett,sgarrett2z@google.nl,"729 Kenwood Court, Richardson, TX",2147031311
ID000109,466926624,Jimmy Ellis,Jimmy,Ellis,jellis30@deliciousdays.com,"8 Nevada Place, Dallas, TX",9727428738
ID000110,454648101,Jose Perez,Jose,Perez,jperez31@webmd.com,"4463 Commercial Circle, Richardson, TX",4698523133
ID000111,909186864,Katherine Dean,Katherine,Dean,kdean32@nature.com,"4978 Cordelia Way, Dallas, TX",9728867232
ID000112,203549198,Ashley Jackson,Ashley,Jackson,ajackson33@whitehouse.gov,"676 David Road, Dallas, TX",4699760450
ID000113,177458737,Kathryn Hart,Kathryn,Hart,khart34@imdb.com,"29 Dexter Circle, Dallas, TX",9729003590
ID000114,279966074,Dennis Ruiz,Dennis,Ruiz,druiz35@nymag.com,"18784 Browning Circle, Dallas, TX",9729741505
ID000115,561913511,Sharon Cox,Sharon,Cox,scox36@upenn.edu,"4 Hoffman Street, Dallas, TX",2149150820
ID000116,325124236,Ruby Burke,Ruby,Burke,rburke37@nytimes.com,"5 Swallow Avenue, Dallas, TX",9729288965
ID000117,537250563,Jerry Stewart,Jerry,Stewart,jstewart38@aboutads.info,"54494 Kenwood Trail, Dallas, TX",4698175662
ID000118,508365238,Howard Fisher,Howard,Fisher,hfisher39@wisc.edu,"2 Reinke Lane, Plano, TX",9723256683
ID000119,663897131,Eric Phillips,Eric,Phillips,ephillips3a@telegraph.co.uk,"578 Westend Pass, Dallas, TX",9728930831
ID000120,582890521,Albert Cruz,Albert,Cruz,acruz3b@google.co.uk,"04 Shopko Way, Dallas, TX",9724714420
ID000121,112244907,Timothy Harrison,Timothy,Harrison,tharrison3c@posterous.com,"04099 Anhalt Place, Dallas, TX",2148497879
ID000122,593248597,Ronald Phillips,Ronald,Phillips,rphillips3d@ox.ac.uk,"4632 Brentwood Hill, Dallas, TX",4699454638
ID000123,152069743,Antonio Bishop,Antonio,Bishop,abishop3e@google.com,"212 Memorial Lane, Richardson, TX",4698358047
ID000124,917730651,Howard Green,Howard,Green,hgreen3f@dyndns.org,"9 Florence Trail, Dallas, TX",2148758195
ID000125,550664068,Willie Murphy,Willie,Murphy,wmurphy3g@technorati.com,"09 Loeprich Parkway, Richardson, TX",2149545495
ID000126,151320622,Christine Washington,Christine,Washington,cwashington3h@goo.gl,"95086 Eliot Alley, Dallas, TX",4698445383
ID000127,363529311,Angela Ellis,Angela,Ellis,aellis3i@irs.gov,"61 Chinook Avenue, Dallas, TX",4699127557
ID000128,498979543,Kathy Wagner,Kathy,Wagner,kwagner3j@alibaba.com,"1 Columbus Crossing, Plano, TX",2149582980
ID000129,109593700,Antonio Carr,Antonio,Carr,acarr3k@livejournal.com,"6996 Arizona Avenue, Dallas, TX",4697240803
ID000130,919117074,Samuel Ellis,Samuel,Ellis,sellis3l@domainmarket.com,"69968 Meadow Ridge Alley, Dallas, TX",4699578249
ID000131,532193189,Bruce Williamson,Bruce,Williamson,bwilliamson3m@fc2.com,"51 Maywood Place, Richardson, TX",2149696651
ID000132,186612257,Ruby Mcdonald,Ruby,Mcdonald,rmcdonald3n@qq.com,"031 Ohio Lane, Dallas, TX",2149705621
ID000133,758820981,Jack Larson,Jack,Larson,jlarson3o@sourceforge.net,"43086 Dexter Way, Dallas, TX",4699136292
ID000134,789850156,Tammy Hunter,Tammy,Hunter,thunter3p@google.ru,"08 Marquette Pass, Dallas, TX",2149190495
ID000135,144612857,Mildred Richards,Mildred,Richards,mrichards3q@t-online.de,"6863 Warbler Crossing, Dallas, TX",4696367310
ID000136,812344775,Janet Dixon,Janet,Dixon,jdixon3r@pbs.org,"1 Ridgeway Terrace, Dallas, TX",9723819665
ID000137,605135959,Antonio Hamilton,Antonio,Hamilton,ahamilton3s@bloglovin.com,"2545 Lerdahl Center, Dallas, TX",2148866681
ID000138,873831740,Louise Jordan,Louise,Jordan,ljordan3t@moonfruit.com,"7326 Reindahl Point, Dallas, TX",9725189421
ID000139,992254077,Linda Hunt,Linda,Hunt,lhunt3u@army.mil,"710 Lighthouse Bay Point, Dallas, TX",9727547045
ID000140,222460064,Joan Webb,Joan,Webb,jwebb3v@amazon.com,"90 Bashford Avenue, Dallas, TX",4699550632
ID000141,135711523,Kevin Frazier,Kevin,Frazier,kfrazier3w@g.co,"47 Bluejay Hill, Dallas, TX",9729653683
ID000142,490888407,Todd Schmidt,Todd,Schmidt,tschmidt3x@adobe.com,"4 Lakeland Pass, Dallas, TX",2149036828
ID000143,797954607,Andrea Sims,Andrea,Sims,asims3y@paypal.com,"898 Killdeer Pass, Dallas, TX",4699880761
ID000144,959243477,Barbara Brooks,Barbara,Brooks,bbrooks3z@tinypic.com,"305 Mendota Plaza, Dallas, TX",4699588251
ID000145,600790040,Kenneth Anderson,Kenneth,Anderson,kanderson40@smh.com.au,"246 Shopko Drive, Richardson, TX",9729985406
ID000146,704596830,Jessica Knight,Jessica,Knight,jknight41@admin.ch,"36 Forest Park, Richardson, TX",4699610488
ID000147,542879344,Dorothy Adams,Dorothy,Adams,dadams42@reverbnation.com,"2483 Melody Plaza, Richardson, TX",9728818472
ID000148,634808812,Phillip Adams,Phillip,Adams,padams43@miibeian.gov.cn,"4 Derek Point, Dallas, TX",9729180335
ID000149,599726050,James Carpenter,James,Carpenter,jcarpenter44@cyberchimps.com,"6668 Ilene Court, Dallas, TX",2148208276
ID000150,751570699,Amy Lopez,Amy,Lopez,alopez45@themeforest.net,"715 Westend Avenue, Dallas, TX",4698301019
ID000151,570719526,Frank Gomez,Frank,Gomez,fgomez46@unicef.org,"61280 Mallory Parkway, Plano, TX",2149622973
ID000152,585658864,Debra Rogers,Debra,Rogers,drogers47@weibo.com,"4 Southridge Place, Richardson, TX",4697537894
ID000153,784423645,Aaron Chapman,Aaron,Chapman,achapman48@oakley.com,"840 Messerschmidt Plaza, Dallas, TX",9727533651
ID000154,327002811,Jerry Cruz,Jerry,Cruz,jcruz49@utexas.edu,"48314 Muir Crossing, Dallas, TX",2149738302
ID000155,209645805,Gerald Mccoy,Gerald,Mccoy,gmccoy4a@archive.org,"71113 Corry Circle, Plano, TX",4697583820
ID000156,352525321,Matthew Ward,Matthew,Ward,mward4b@eepurl.com,"3726 Oneill Terrace, Plano, TX",9726682488
ID000157,312336562,Marilyn Andrews,Marilyn,Andrews,mandrews4c@last.fm,"61664 Warrior Street, Dallas, TX",9728314215
ID000158,585358539,Lawrence Coleman,Lawrence,Coleman,lcoleman4d@techcrunch.com,"0 Scoville Plaza, Plano, TX",4699873187
ID000159,766726736,Sarah Burton,Sarah,Burton,sburton4e@cnbc.com,"65230 Prairie Rose Point, Plano, TX",9727360106
ID000160,519221664,Gerald White,Gerald,White,gwhite4f@ocn.ne.jp,"82 Delaware Plaza, Plano, TX",2147745757
ID000161,811232706,Shawn Robertson,Shawn,Robertson,srobertson4g@lulu.com,"9 Troy Alley, Dallas, TX",2149439366
ID000162,983171073,Samuel Arnold,Samuel,Arnold,sarnold4h@google.com.br,"1748 Monterey Road, Dallas, TX",4697415231
ID000163,153095087,Ruby Mcdonald,Ruby,Mcdonald,rmcdonald4i@sohu.com,"00621 Killdeer Crossing, Dallas, TX",4699415043
ID000164,208162580,Lillian Kim,Lillian,Kim,lkim4j@npr.org,"47585 Nova Drive, Dallas, TX",2147402312
ID000165,604544201,Pamela Bradley,Pamela,Bradley,pbradley4k@disqus.com,"2 Lakewood Gardens Place, Richardson, TX",4698713326
ID000166,764512571,Ralph Chavez,Ralph,Chavez,rchavez4l@eventbrite.com,"15739 Vera Plaza, Dallas, TX",2145985319
ID000167,102721991,Martin Richards,Martin,Richards,mrichards4m@mysql.com,"8 New Castle Trail, Dallas, TX",4699760263
ID000168,743821324,Chris Simmons,Chris,Simmons,csimmons4n@canalblog.com,"46833 Farmco Junction, Dallas, TX",4698100333
ID000169,915276165,Martin Stevens,Martin,Stevens,mstevens4o@berkeley.edu,"573 Oneill Hill, Dallas, TX",4695702393
ID000170,615688488,Lisa West,Lisa,West,lwest4p@globo.com,"55586 Ronald Regan Lane, Dallas, TX",9729984345
ID000171,538661965,Daniel Marshall,Daniel,Marshall,dmarshall4q@de.vu,"3 Manitowish Crossing, Dallas, TX",4697304725
ID000172,981953778,John Hicks,John,Hicks,jhicks4r@spotify.com,"81 Northfield Place, Richardson, TX",9727271591
ID000173,802736786,Roger Harrison,Roger,Harrison,rharrison4s@rakuten.co.jp,"9 Meadow Vale Drive, Dallas, TX",4699415954
ID000174,777087277,Teresa Thompson,Teresa,Thompson,tthompson4t@networkadvertising.org,"06364 Gerald Street, Dallas, TX",9726701547
ID000175,445902407,Arthur Freeman,Arthur,Freeman,afreeman4u@trellian.com,"51652 Russell Street, Dallas, TX",4699944509
ID000176,909023006,Howard Simpson,Howard,Simpson,hsimpson4v@yellowpages.com,"95 Redwing Lane, Dallas, TX",9729100392
ID000177,790101835,Christopher Spencer,Christopher,Spencer,cspencer4w@uol.com.br,"6 Northfield Crossing, Dallas, TX",2148219650
ID000178,847641856,Theresa Wood,Theresa,Wood,twood4x@jigsy.com,"0420 Westport Circle, Dallas, TX",4699941901
ID000179,930978594,Lillian Wright,Lillian,Wright,lwright4y@ebay.com,"82972 Raven Road, Dallas, TX",9729605502
ID000180,823594050,Sara Rogers,Sara,Rogers,srogers4z@google.fr,"7 Twin Pines Circle, Dallas, TX",2149845323
ID000181,831372302,Linda Richards,Linda,Richards,lrichards50@pagesperso-orange.fr,"046 Harper Center, Dallas, TX",2149982489
ID000182,139708042,Albert Cunningham,Albert,Cunningham,acunningham51@shutterfly.com,"414 Summer Ridge Trail, Richardson, TX",9727163924
ID000183,611169228,Debra Holmes,Debra,Holmes,dholmes52@chron.com,"22 Bluejay Road, Plano, TX",9729548773
ID000184,248335177,Jason Davis,Jason,Davis,jdavis53@qq.com,"82931 Cardinal Junction, Dallas, TX",2149699787
ID000185,399388513,Justin Fowler,Justin,Fowler,jfowler54@privacy.gov.au,"1958 Leroy Way, Dallas, TX",9729152410
ID000186,515584650,Catherine Harris,Catherine,Harris,charris55@so-net.ne.jp,"4091 Doe Crossing Alley, Plano, TX",4699687984
ID000187,911946409,Gary Reyes,Gary,Reyes,greyes56@wufoo.com,"06 Shelley Parkway, Dallas, TX",9729852014
ID000188,952372293,Clarence Harvey,Clarence,Harvey,charvey57@vinaora.com,"637 Blackbird Crossing, Dallas, TX",9727358046
ID000189,866263470,Kathleen Lynch,Kathleen,Lynch,klynch58@tripod.com,"0 Northview Center, Dallas, TX",4698589821
ID000190,696871283,Angela Myers,Angela,Myers,amyers59@unblog.fr,"07 Jenifer Point, Plano, TX",2149963258
ID000191,525300056,Paula Roberts,Paula,Roberts,proberts5a@about.me,"2025 Annamark Court, Richardson, TX",2149191512
ID000192,455251300,Marie Hudson,Marie,Hudson,mhudson5b@go.com,"35523 Fulton Point, Richardson, TX",9729550047
ID000193,300833012,Victor George,Victor,George,vgeorge5c@paypal.com,"16 Butterfield Place, Plano, TX",4699820024
ID000194,568537223,Judith Lane,Judith,Lane,jlane5d@miibeian.gov.cn,"59463 Havey Center, Dallas, TX",4699621701
ID000195,219131583,Steven Carpenter,Steven,Carpenter,scarpenter5e@china.com.cn,"64 Rutledge Court, Richardson, TX",9727592760
ID000196,628419882,Beverly Welch,Beverly,Welch,bwelch5f@pinterest.com,"0 7th Point, Richardson, TX",2147582027
ID000197,553830248,Chris Cox,Chris,Cox,ccox5g@wix.com,"386 Coleman Avenue, Richardson, TX",2149021149
ID000198,664423811,Heather Duncan,Heather,Duncan,hduncan5h@constantcontact.com,"3 Acker Avenue, Richardson, TX",9729062444
ID000199,932052280,Helen Cooper,Helen,Cooper,hcooper5i@intel.com,"90887 Ohio Trail, Dallas, TX",2147239307
ID000200,359156568,Linda Dixon,Linda,Dixon,ldixon5j@simplemachines.org,"0506 Boyd Plaza, Richardson, TX",2149400096
ID000201,377036374,Eric Wood,Eric,Wood,ewood5k@cnbc.com,"730 Bonner Hill, Dallas, TX",9729597132
ID000202,956775994,Brenda Brooks,Brenda,Brooks,bbrooks5l@kickstarter.com,"4 Pennsylvania Hill, Dallas, TX",9729605440
ID000203,262729956,Fred Crawford,Fred,Crawford,fcrawford5m@fastcompany.com,"00 Mariners Cove Terrace, Dallas, TX",9729781543
ID000204,935261044,Alan Morris,Alan,Morris,amorris5n@businesswire.com,"2238 Debra Center, Dallas, TX",4697013591
ID000205,575573479,Jimmy Watkins,Jimmy,Watkins,jwatkins5o@msn.com,"91873 Colorado Crossing, Dallas, TX",4699333579
ID000206,534352839,Keith Fisher,Keith,Fisher,kfisher5p@ehow.com,"2 Muir Crossing, Richardson, TX",9729991883
ID000207,487483434,Rose Oliver,Rose,Oliver,roliver5q@reference.com,"3152 Thackeray Point, Dallas, TX",2149719384
ID000208,282195051,Johnny Vasquez,Johnny,Vasquez,jvasquez5r@diigo.com,"809 Grover Circle, Dallas, TX",9728435554
ID000209,198526239,Judith Dunn,Judith,Dunn,jdunn5s@huffingtonpost.com,"337 Northview Point, Dallas, TX",9729991156
ID000210,165453343,Roger Freeman,Roger,Freeman,rfreeman5t@opensource.org,"13 Farmco Way, Dallas, TX",4698549842
ID000211,983870005,Richard Bailey,Richard,Bailey,rbailey5u@fc2.com,"3108 Browning Park, Richardson, TX",2147180392
ID000212,387201613,Ernest Palmer,Ernest,Palmer,epalmer5v@japanpost.jp,"66600 Pleasure Drive, Dallas, TX",2142381120
ID000213,440220860,Janice Long,Janice,Long,jlong5w@xrea.com,"26577 Laurel Road, Dallas, TX",2149720889
ID000214,589602564,Thomas Schmidt,Thomas,Schmidt,tschmidt5x@ucoz.ru,"0 New Castle Crossing, Plano, TX",4697459014
ID000215,564077138,Kathryn Hayes,Kathryn,Hayes,khayes5y@usa.gov,"18504 Basil Hill, Dallas, TX",4698317793
ID000216,106588800,Chris Perkins,Chris,Perkins,cperkins5z@nasa.gov,"14865 John Wall Center, Plano, TX",9729573368
ID000217,664128122,Thomas Scott,Thomas,Scott,tscott60@cpanel.net,"449 Schurz Parkway, Dallas, TX",4699145396
